latitude,longtitude,depth,temperature,time
,,3.614,21.0,1712825795859
,,3.614,21.0,1712825795933
40.46495,22.852713333333334,3.614,,1712825795933
,,3.614,21.0,1712825795966
,,3.614,21.0,1712825796035
,,3.642,21.0,1712825796111
,,3.669,21.0,1712825796212
,,3.724,21.0,1712825796239
,,3.751,21.0,1712825796344
,,3.751,21.0,1712825796376
,,3.751,21.0,1712825796475
,,3.724,21.0,1712825796509
,,3.724,21.0,1712825796613
,,3.696,21.0,1712825796646
,,3.724,21.0,1712825796750
,,3.724,21.0,1712825796920
40.46495,22.852708333333332,3.724,,1712825796920
,,3.751,21.0,1712825797005
,,3.751,21.0,1712825797054
,,3.696,21.0,1712825797122
,,3.669,21.0,1712825797191
,,3.642,21.0,1712825797268
,,3.642,21.0,1712825797395
,,3.642,21.0,1712825797401
,,3.642,21.0,1712825797496
,,3.642,21.0,1712825797532
,,3.642,21.0,1712825797634
,,3.642,21.0,1712825797668
,,3.642,21.0,1712825797769
,,3.669,21.0,1712825797805
40.46495,22.852703333333338,3.669,,1712825797805
,,3.642,21.0,1712825797938
,,3.642,21.0,1712825798007
,,3.669,21.0,1712825798110
,,3.669,21.0,1712825798143
,,3.669,21.0,1712825798347
,,3.669,21.0,1712825798449
,,3.696,21.0,1712825798483
,,3.696,21.0,1712825798587
,,3.669,21.0,1712825798623
,,3.642,21.0,1712825798724
,,3.587,21.0,1712825798769
,,3.559,21.0,1712825798858
,,3.587,21.0,1712825798892
40.46495166666667,22.852695,3.587,,1712825798892
,,3.587,21.0,1712825799037
,,3.614,21.0,1712825799045
,,3.587,21.0,1712825799135
,,3.614,21.0,1712825799161
,,3.614,21.0,1712825799266
,,3.587,21.0,1712825799301
,,3.614,21.0,1712825799402
,,3.614,21.0,1712825799437
,,3.614,21.0,1712825799546
,,3.587,21.0,1712825799575
,,3.614,21.0,1712825799674
,,3.614,21.0,1712825799713
,,3.614,21.0,1712825799788
,,3.642,21.0,1712825799853
,,3.642,21.0,1712825799915
,,3.587,21.0,1712825800058
,,3.587,21.0,1712825800062
,,3.587,21.0,1712825800160
,,3.587,21.0,1712825800184
,,3.587,21.0,1712825800258
,,3.614,21.0,1712825800367
,,3.614,21.0,1712825800504
